experiment_name,dataset_name,model_name,scenario_name,run_id,best_val_macro_f1,best_val_accuracy,best_val_loss,best_epoch,mode,target,alpha,beta,mix_lambda,start_epoch,mean_epoch_time,mean_throughput,exp_dir
runs_fractional_focused_final,small_D2_L64,T_wide_mean,emb_mix_a08_lam0025,0,0.2950922259616289,0.3510000109672546,1.8110286388397216,9,mix,embeddings,0.8,0.9,0.0025,1.0,1.299382209777832,3952.716751720936,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_wide_mean/emb_mix_a08_lam0025/run_0
runs_fractional_focused_final,small_D2_L64,T_small_mean,delayed_head_mix_a08_lam015_warm3,4,0.2946631691392392,0.3589999973773956,1.9053907508850096,7,mix,head,0.8,0.9,0.015,4.0,1.0048978805541993,5686.1296317256665,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_small_mean/delayed_head_mix_a08_lam015_warm3/run_4
runs_fractional_hypothesis_v2,small_D2_L64,T_small_mean,emb_mix_a08_lam010,1,0.2946631691392392,0.3589999973773956,1.9053607215881347,7,mix,embeddings,0.8,0.9,0.1,1.0,1.013875961303711,5864.221649575654,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_small_mean/emb_mix_a08_lam010/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_base_mean,delayed_emb_mix_a08_lam010_warm3,0,0.2942273801924508,0.3540000021457672,1.8679957981109616,7,mix,embeddings,0.8,0.9,0.1,4.0,1.2334978342056275,4197.01156962077,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_base_mean/delayed_emb_mix_a08_lam010_warm3/run_0
runs_fractional_focused_final,small_D2_L64,T_base_mean,delayed_head_mix_a08_lam005_warm3,1,0.2942273801924508,0.3540000021457672,1.8680384540557864,7,mix,head,0.8,0.9,0.005,4.0,1.1978220224380494,4700.3589379743335,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_base_mean/delayed_head_mix_a08_lam005_warm3/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_wide_mean,delayed_head_mix_a08_lam010_warm3,1,0.2937318218480474,0.3400000035762787,1.85798468875885,7,mix,head,0.8,0.9,0.1,4.0,1.327730655670166,3884.9796596402302,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_1
runs_fractional_focused_final,small_D2_L64,T_deep_mean,delayed_head_mix_a08_lam010_warm3,1,0.2933855090610616,0.3490000069141388,1.830828073501587,9,mix,head,0.8,0.9,0.01,4.0,1.7395747900009155,2719.5177079041337,/home/user/fractional_unlearning/runs_fractional_focused_final/small_D2_L64/T_deep_mean/delayed_head_mix_a08_lam010_warm3/run_1
runs_fractional_hypothesis_v2,small_D2_L64,T_deep_mean,emb_mix_a08_lam025,1,0.2931242729972702,0.3650000095367431,1.82533709526062,9,mix,embeddings,0.8,0.9,0.25,1.0,1.620240116119385,3261.6772079623856,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_deep_mean/emb_mix_a08_lam025/run_1
runs_fractional_scenarios,small_D2_L64,T_base_mean,embeddings_only_replace_a08,0,0.2927786429199635,0.3610000014305115,1.7737584342956545,9,replace,embeddings,0.8,0.9,1.0,1.0,15.350623440742492,261.16432956561835,/home/user/fractional_unlearning/runs_fractional_scenarios/small_D2_L64/T_base_mean/embeddings_only_replace_a08/run_0
runs_fractional_hypothesis_v2,small_D2_L64,T_wide_mean,all_mix_a08_lam015,2,0.2921018524221181,0.3529999852180481,1.8520429286956788,8,mix,all,0.8,0.9,0.15,1.0,1.0602996826171875,6382.543914410663,/home/user/fractional_unlearning/runs_fractional_hypothesis_v2/small_D2_L64/T_wide_mean/all_mix_a08_lam015/run_2
