status,is_complete,dataset_name,n_samples,depth,max_len,min_args,max_args,model_name,d_model,nhead,num_layers,dim_feedforward,dropout,pooling,optimizer_name,base_optimizer,lr,weight_decay,fractional,fractional_alpha,fractional_beta,run_id,exp_dir,has_exp_dir,has_history_json,has_initial_model_pt,has_best_model_pt,has_final_model_pt,n_epochs_recorded,best_epoch,best_val_macro_f1,best_val_accuracy,best_val_loss,best_val_weighted_f1,best_val_micro_f1,best_val_confidence,final_val_macro_f1,final_val_accuracy,final_val_loss,final_val_weighted_f1,final_val_micro_f1,final_val_confidence,final_train_macro_f1,final_train_accuracy,final_train_loss,mean_epoch_time,total_epoch_time,mean_throughput
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,adam,adam,0.0003,0.0,False,,,0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/adam/run_0,True,True,True,True,True,10,7,0.251266912661504,0.3160000145435333,1.9192089653015136,0.29322685836995466,0.3159999999994997,0.34025585842132566,0.2320675656852679,0.30300000309944153,1.9180997562408448,0.27226961857117965,0.3029999999994997,0.37016796302795413,0.2997976560368759,0.36899998784065247,1.7738986110687256,12.282637214660644,122.82637214660645,326.9886871671702
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,adam,adam,0.0003,0.0,False,,,1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/adam/run_1,True,True,True,True,True,10,9,0.2606520383639329,0.32899999618530273,1.8851855125427246,0.30029981245183124,0.3289999999994997,0.35470989608764647,0.242324852483819,0.32199999690055847,1.8860062236785888,0.28484185512889093,0.3219999999994997,0.37827683448791505,0.2928109727013265,0.36000001430511475,1.7819452438354493,12.520590710639954,125.20590710639954,324.93218957724287
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,adam,adam,0.0003,0.0,False,,,2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/adam/run_2,True,True,True,True,True,10,10,0.26324295351250937,0.33500000834465027,1.8824566650390624,0.30209792074934844,0.33499999999949964,0.3505213079452515,0.26324295351250937,0.33500000834465027,1.8824566650390624,0.30209792074934844,0.33499999999949964,0.3505213079452515,0.28495006376950976,0.35199999809265137,1.8040577421188355,12.624568152427674,126.24568152427673,317.6640637161857
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,adamw,adamw,0.0003,0.01,False,,,0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/adamw/run_0,True,True,True,True,True,10,9,0.26332364399935776,0.3370000123977661,1.8529807729721068,0.31120653460286857,0.33699999999949964,0.3480470371246338,0.2530046007686475,0.32899999618530273,1.8573135013580322,0.3003066382860889,0.3289999999994997,0.35550388622283935,0.29173091023726383,0.3580000102519989,1.8043458852767944,11.619216561317444,116.19216561317444,345.47769297264074
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,adamw,adamw,0.0003,0.01,False,,,1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/adamw/run_1,True,True,True,True,True,10,10,0.26307465673573394,0.31700000166893005,1.8748165111541748,0.3037383848391484,0.3169999999994997,0.3356395998001099,0.26307465673573394,0.31700000166893005,1.8748165111541748,0.3037383848391484,0.3169999999994997,0.3356395998001099,0.30384388903938614,0.3700000047683716,1.7701015510559082,12.161407446861267,121.61407446861267,333.5428622009647
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,adamw,adamw,0.0003,0.01,False,,,2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/adamw/run_2,True,True,True,True,True,10,8,0.2762840105472694,0.3479999899864197,1.8714020929336548,0.32695285257117174,0.34799999999949965,0.32386428260803224,0.275733099981556,0.35600000619888306,1.8529772930145263,0.3206400952716114,0.3559999999994996,0.38501012229919435,0.29500383291263066,0.35975000262260437,1.7884956169128419,12.794207501411439,127.94207501411438,312.7623326187035
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,sgd,sgd,0.01,0.0,False,,,0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/sgd/run_0,True,True,True,True,True,10,10,0.25269031384260543,0.3179999887943268,1.8944162378311158,0.29122943070910357,0.3179999999994997,0.3259038219451904,0.25269031384260543,0.3179999887943268,1.8944162378311158,0.29122943070910357,0.3179999999994997,0.3259038219451904,0.26788569617958224,0.3347499966621399,1.8801082668304443,11.127281188964844,111.27281188964844,360.19685946861165
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,sgd,sgd,0.01,0.0,False,,,1,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/sgd/run_1,True,True,True,True,True,10,9,0.2681525757315127,0.32600000500679016,1.8812549381256103,0.29957746317918754,0.3259999999994997,0.3329208106994629,0.23867937486839685,0.3269999921321869,1.8991866149902343,0.28547005498322087,0.3269999999994997,0.3570990552902222,0.26685370160679434,0.33550000190734863,1.8745384492874146,12.399454164505006,123.99454164505005,327.0041272968742
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,sgd,sgd,0.01,0.0,False,,,2,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/sgd/run_2,True,True,True,True,True,10,7,0.2620986061290773,0.3190000057220459,1.9512671213150024,0.32350143545516097,0.3189999999994997,0.2969867115020752,0.2539823016219588,0.3319999873638153,1.8777047033309937,0.31130209519316615,0.3319999999994997,0.35865068244934084,0.26668643224186195,0.3297500014305115,1.9052766590118408,12.154487347602844,121.54487347602844,332.3043196838953
complete,True,small_D2_L64,5000,2,64,2,4,T_small_mean,96,4,2,256,0.1,mean,rmsprop,rmsprop,0.001,0.0,False,,,0,/home/tahiti/Malashin_Projects/runs_transformer_fractional/small_D2_L64/T_small_mean/rmsprop/run_0,True,True,True,True,True,10,7,0.27922912692426205,0.33000001311302185,1.9542904825210572,0.3209046826159333,0.3299999999994997,0.4378842830657959,0.22069554542024944,0.3089999854564667,1.9825203771591187,0.2621633891285888,0.3089999999994997,0.44828225898742674,0.3978778775118419,0.45350000262260437,1.5118570041656494,11.99134602546692,119.91346025466919,334.66679916377115
