alpha,base_optimizer,best_epoch,best_model_path,best_val_accuracy,best_val_loss,best_val_macro_f1,beta,d_model,dataset_name,dim_feedforward,dropout,exp_dir,final_model_path,final_train_accuracy,final_train_loss,final_train_macro_f1,final_val_accuracy,final_val_confidence,final_val_loss,final_val_macro_f1,final_val_micro_f1,final_val_weighted_f1,gpu_id,history_path,initial_model_path,job_id,log_path,lr,max_length,mean_epoch_time,mean_fractional_applied_params,mean_grad_norm,mean_length,mean_throughput,mix_lambda,mode,model_name,n_samples,nhead,num_classes,num_layers,num_params,pooling,pt_path,run_id,scenario_name,seed,seq_len,start_epoch,status,target,total_time_sec,vocab_size,weight_decay
0.8,adamw,8,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_1/best_model.pt,0.3034999966621399,1.9745806522369385,0.12330644385657312,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_1/final_model.pt,0.3108749985694885,1.9355496292114258,0.1736035650352652,0.2994999885559082,0.3842582168579102,2.0305718688964842,0.11808840222196312,0.2994999999994999,0.21492611236945453,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_1/initial_model.pt,957,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_1/log.txt,0.0003,119,3.00313720703125,1.4,1.3379014728043432,67.18820190429688,2996.453371638331,0.01,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,1,delayed_head_mix_a08_lam010_warm3,999,128,4,trained,head,30.097039222717285,19,0.01
0.8,adamw,7,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_2/best_model.pt,0.29649999737739563,2.0102722301483156,0.1502610779420241,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_2,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_2/final_model.pt,0.3098750114440918,1.930149146080017,0.16733352656179457,0.2930000126361847,0.3299650421142578,2.0225080451965334,0.14735889441895156,0.2929999999994999,0.23447043415472735,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_2/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_2/initial_model.pt,958,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_2/log.txt,0.0003,119,3.0286312103271484,1.4,1.3017681063906748,67.18820190429688,2979.139902749816,0.01,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,2,delayed_head_mix_a08_lam010_warm3,1000,128,4,trained,head,30.368472576141357,19,0.01
0.8,adamw,10,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_3/best_model.pt,0.27799999713897705,2.0303743133544923,0.14826936734931084,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_3,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_3/final_model.pt,0.3154999911785126,1.9245735998153686,0.16990156411012972,0.27799999713897705,0.2986551685333252,2.0303743133544923,0.14826936734931084,0.27799999999949987,0.2226887398955424,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_3/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_3/initial_model.pt,959,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_3/log.txt,0.0003,119,3.0280042409896852,1.4,1.28684429625439,67.18820190429688,2979.491115345932,0.01,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,3,delayed_head_mix_a08_lam010_warm3,1001,128,4,trained,head,30.379282236099243,19,0.01
0.8,adamw,10,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_4/best_model.pt,0.27649998664855957,2.023304153442383,0.1468160694149008,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_4,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_4/final_model.pt,0.31962499022483826,1.9150785293579102,0.1862733003731783,0.27649998664855957,0.3128673629760742,2.023304153442383,0.1468160694149008,0.27649999999949987,0.23242934798493514,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_4/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_4/initial_model.pt,960,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam010_warm3/run_4/log.txt,0.0003,119,2.778497409820557,1.4,1.318118686167883,67.18820190429688,3112.478345815513,0.01,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,4,delayed_head_mix_a08_lam010_warm3,1002,128,4,trained,head,27.853252410888672,19,0.01
0.8,adamw,10,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_1/best_model.pt,0.2980000078678131,1.9876729640960693,0.14514002056908232,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_1/final_model.pt,0.31712499260902405,1.9306601181030274,0.18020877551476894,0.2980000078678131,0.3171999492645264,1.9876729640960693,0.14514002056908232,0.2979999999994999,0.24168364235883807,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_1/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_1/initial_model.pt,962,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_1/log.txt,0.0003,119,2.8106723546981813,1.4,1.3051344228938078,67.18820190429688,3047.257483924425,0.015,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,1,delayed_head_mix_a08_lam015_warm3,1004,128,4,trained,head,28.210960388183594,19,0.01
0.8,adamw,9,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/best_model.pt,0.29249998927116394,2.0068250427246093,0.13825404479979148,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/final_model.pt,0.32074999809265137,1.9182548027038575,0.18330369028225477,0.29350000619888306,0.35301105117797854,2.037465594291687,0.13058219488440231,0.2934999999994999,0.21307427905559873,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/initial_model.pt,961,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_0/log.txt,0.0003,119,2.828070640563965,1.4,1.325078563161353,67.18820190429688,3054.4702002146923,0.015,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,0,delayed_head_mix_a08_lam015_warm3,1003,128,4,trained,head,28.356796979904175,19,0.01
0.8,adamw,6,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_2/best_model.pt,0.30000001192092896,2.0130888814926147,0.14453659128195193,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_2,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_2/final_model.pt,0.320125013589859,1.930806137084961,0.18665569694525405,0.29750001430511475,0.3362835264205933,2.0255512065887453,0.12964713521508628,0.2974999999994999,0.22791245343633065,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_2/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_2/initial_model.pt,963,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_2/log.txt,0.0003,119,2.385456395149231,1.4,1.3380454421620454,67.18820190429688,4462.699014010452,0.015,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,2,delayed_head_mix_a08_lam015_warm3,1005,128,4,trained,head,23.918730974197388,19,0.01
0.8,adamw,10,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_3/best_model.pt,0.2824999988079071,2.0221793842315674,0.1492245204243109,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_3,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_3/final_model.pt,0.3138749897480011,1.9198908748626708,0.1668258737231627,0.2824999988079071,0.30904490089416503,2.0221793842315674,0.1492245204243109,0.2824999999994999,0.23701684033208606,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_3/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_3/initial_model.pt,964,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_3/log.txt,0.0003,119,2.654887318611145,1.4,1.2957185123299477,67.18820190429688,3284.3486777534663,0.015,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,3,delayed_head_mix_a08_lam015_warm3,1006,128,4,trained,head,26.6225323677063,19,0.01
0.8,adamw,8,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_4/best_model.pt,0.2759999930858612,2.030035062789917,0.12860566251633707,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_4,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_4/final_model.pt,0.32199999690055847,1.9141258535385133,0.18382335737667327,0.28299999237060547,0.3332450656890869,2.035878177642822,0.12662638395908934,0.2829999999994999,0.21192859478760173,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_4/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_4/initial_model.pt,965,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam015_warm3/run_4/log.txt,0.0003,119,2.664505648612976,1.4,1.3369798724571758,67.18820190429688,3249.921981280728,0.015,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,4,delayed_head_mix_a08_lam015_warm3,1007,128,4,trained,head,26.80547833442688,19,0.01
0.8,adamw,10,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam020_warm3/run_0/best_model.pt,0.2994999885559082,1.9901515274047852,0.13575627292483575,0.9,192,base_D3_L128,768,0.1,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam020_warm3/run_0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam020_warm3/run_0/final_model.pt,0.304500013589859,1.9596160821914672,0.16407601272869074,0.2994999885559082,0.2932630710601807,1.9901515274047852,0.13575627292483575,0.2994999999994999,0.22917046662727533,0,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam020_warm3/run_0/history.json,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam020_warm3/run_0/initial_model.pt,966,/home/tahiti/Malashin_Projects/runs_fractional_focused_final/base_D3_L128/T_wide_mean/delayed_head_mix_a08_lam020_warm3/run_0/log.txt,0.0003,119,2.3497446537017823,1.4,1.3321937745299728,67.18820190429688,4304.87305172246,0.02,mix,T_wide_mean,10000,6,10,3,1365130,mean,/home/tahiti/Malashin_Projects/generated_pt/listops_base_D3_L128_N10000_D3_L128_seed1042.pt,0,delayed_head_mix_a08_lam020_warm3,1008,128,4,trained,head,23.547183752059937,19,0.01
