dataset_name,scenario_name,scenario_family,mode,target,alpha,beta,mix_lambda,start_epoch,trainable_scope,best_test_macro_f1_at_best_val_count,best_test_macro_f1_at_best_val_mean,best_test_macro_f1_at_best_val_std,best_test_macro_f1_at_best_val_min,best_test_macro_f1_at_best_val_max,best_test_accuracy_at_best_val_count,best_test_accuracy_at_best_val_mean,best_test_accuracy_at_best_val_std,best_test_accuracy_at_best_val_min,best_test_accuracy_at_best_val_max,best_test_loss_at_best_val_count,best_test_loss_at_best_val_mean,best_test_loss_at_best_val_std,best_test_loss_at_best_val_min,best_test_loss_at_best_val_max,best_val_macro_f1_count,best_val_macro_f1_mean,best_val_macro_f1_std,best_val_macro_f1_min,best_val_macro_f1_max,best_val_accuracy_count,best_val_accuracy_mean,best_val_accuracy_std,best_val_accuracy_min,best_val_accuracy_max,best_val_loss_count,best_val_loss_mean,best_val_loss_std,best_val_loss_min,best_val_loss_max,final_test_macro_f1_count,final_test_macro_f1_mean,final_test_macro_f1_std,final_test_macro_f1_min,final_test_macro_f1_max,final_test_accuracy_count,final_test_accuracy_mean,final_test_accuracy_std,final_test_accuracy_min,final_test_accuracy_max,final_val_macro_f1_count,final_val_macro_f1_mean,final_val_macro_f1_std,final_val_macro_f1_min,final_val_macro_f1_max,mean_grad_norm_count,mean_grad_norm_mean,mean_grad_norm_std,mean_grad_norm_min,mean_grad_norm_max,mean_nonfinite_grad_tensors_count,mean_nonfinite_grad_tensors_mean,mean_nonfinite_grad_tensors_std,mean_nonfinite_grad_tensors_min,mean_nonfinite_grad_tensors_max,total_nonfinite_train_loss_batches_count,total_nonfinite_train_loss_batches_mean,total_nonfinite_train_loss_batches_std,total_nonfinite_train_loss_batches_min,total_nonfinite_train_loss_batches_max,mean_fractional_applied_params_count,mean_fractional_applied_params_mean,mean_fractional_applied_params_std,mean_fractional_applied_params_min,mean_fractional_applied_params_max,mean_epoch_time_count,mean_epoch_time_mean,mean_epoch_time_std,mean_epoch_time_min,mean_epoch_time_max,mean_throughput_count,mean_throughput_mean,mean_throughput_std,mean_throughput_min,mean_throughput_max,total_epoch_time_count,total_epoch_time_mean,total_epoch_time_std,total_epoch_time_min,total_epoch_time_max
ag_news,emb_mix_a08_lam015,embedding_weak_mix,mix,embeddings,0.8,0.9,0.015,1.0,all,20,0.9365816407400089,0.008335075164842902,0.9218520263785914,0.9459254322299672,20,0.9365921080112457,0.008288306249349434,0.921842098236084,0.9459210634231567,20,0.21189342719551765,0.026239916176054614,0.16589512900302283,0.27581686284981277,20,0.9377312924981898,0.007988172932936263,0.9216533027447437,0.9465283013951774,20,0.9377708345651626,0.007924943825177664,0.921750009059906,0.9465000033378601,20,0.2061147412488858,0.024436479886320802,0.15840024691820145,0.2672235789398352,20,0.8934777724853852,0.186914408951252,0.09999999999991997,0.9437596481122922,20,0.9009868443012238,0.1534056070982709,0.25,0.9436842203140259,20,0.8941202627897387,0.18685028882277485,0.10079840319353227,0.9457213585572555,20,0.9438417114775793,0.06565182299153063,0.7886445069877139,0.9882680491054023,20,0.0013539583916410114,0.003922497399858816,0.0003555555555555555,0.01801250116615356,20,218.4,976.7144925719082,0.0,4368.0,20,5.18,1.0440810615837712,4.0,7.0,20,729.7174244999885,492.97877585762836,162.51074161529542,1570.9681457996369,20,240.12013130043138,188.6521279708472,53.656000258303585,705.092286883407,20,3648.587122499943,2464.8938792881418,812.553708076477,7854.840728998184
ag_news,baseline_adamw,baseline,none,none,,,0.0,,all,20,0.9364919394943229,0.008863070037987458,0.9206608510406811,0.9455125592647391,20,0.9365131586790085,0.008776209986922212,0.9207894802093506,0.9455263018608093,20,0.21399011205136778,0.02177456729123687,0.18112698934580151,0.250738878501089,20,0.9364648607230193,0.007653611480476049,0.9219030091548439,0.9471919223486432,20,0.9365791648626327,0.007620015367793792,0.921833336353302,0.9471666812896729,20,0.2104096965789795,0.015998124919234625,0.18674597704410553,0.2441697611808777,20,0.9351741249346798,0.007976903766666639,0.9206608510406811,0.9437646642743432,20,0.9351973742246628,0.007895715317657977,0.9207894802093506,0.9436842203140259,20,0.9352149919731432,0.006746750271472198,0.9219030091548439,0.9436530112244582,20,0.960255213018067,0.05831619071376601,0.8598299508342109,0.9990127979570704,20,0.0004711111111111111,0.00010786418968480612,0.0003555555555555555,0.0007703703703703703,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,714.7510953211784,413.604742362866,280.4986399173737,1336.745848751068,20,211.0778223259455,118.26825352589427,80.79487666673245,385.4234271376621,20,3573.755476605892,2068.0237118143295,1402.4931995868683,6683.729243755341
ag_news,emb_mix_a08_lam010,embedding_weak_mix,mix,embeddings,0.8,0.9,0.01,1.0,all,20,0.9359221926197667,0.008638362622292818,0.9198579661384256,0.9458550803068615,20,0.935947373509407,0.008569460778393405,0.9198684096336365,0.9457894563674927,20,0.21267017519944592,0.02356106204055357,0.1702318459435513,0.2495729596991288,20,0.9372634975209015,0.008498249507984829,0.921827968376957,0.948470307513675,20,0.9372916668653488,0.00843965151087855,0.921833336353302,0.9483333230018616,20,0.20809092141489188,0.023300589096597407,0.16451349063714346,0.24191541719436646,20,0.9348312663225838,0.00781088472205101,0.9198579661384256,0.9445444074876126,20,0.9348881661891937,0.007763372984097954,0.9198684096336365,0.94460529088974,20,0.93597492070542,0.007504847796290559,0.921827968376957,0.9434325326426856,20,0.9564375539981999,0.0553171262868878,0.8616518265801663,0.9914896917284034,20,0.000482962962962963,0.00011738246947997492,0.0003555555555555555,0.0008296296296296296,20,0.0,0.0,0.0,0.0,20,5.25,1.1180339887498947,4.0,7.0,20,766.3296752429009,525.3048023035822,280.9835522174835,1604.583536195755,20,212.27988794919884,121.96900016078216,67.30842440207945,384.62607976004455,20,3831.6483762145044,2626.5240115179113,1404.9177610874176,8022.917680978775
ag_news,delayed_head_mix_a08_lam010_warm1,head_mixed_control,mix,head,0.8,0.9,0.01,2.0,all,20,0.9357717954095746,0.008630436272140468,0.9200511991041673,0.945676473359571,20,0.9358092159032821,0.008580588614446901,0.9202631711959839,0.9456579089164734,20,0.21448051227864467,0.023796385087565354,0.1722075316780492,0.24581185039721037,20,0.9368003912622823,0.008372817602921268,0.9220803894829375,0.9483193048473924,20,0.936879163980484,0.008372817093284864,0.921999990940094,0.9488333463668823,20,0.20795113700181247,0.023199503173541764,0.16178023767471314,0.23747271966934205,20,0.9344506555322483,0.007951458719112533,0.9200511991041673,0.9439675229699621,20,0.9344999969005585,0.007912907181702889,0.9202631711959839,0.9439473748207092,20,0.9352498530969819,0.007038819038565109,0.9220803894829375,0.943532558679785,20,0.960837403044805,0.05750700085868935,0.8587232920221732,0.9986784070781253,20,0.0004740740740740741,9.418896761351423e-05,0.0003555555555555555,0.0007111111111111111,20,0.0,0.0,0.0,0.0,20,2.4,0.8207826816681233,1.6,3.2,20,712.1626717400551,389.39699492444663,228.42249889373778,1237.1012575149537,20,224.02325924907322,143.84496892671015,90.6240530412886,473.0351594292077,20,3560.8133587002753,1946.984974622233,1142.112494468689,6185.506287574768
ag_news,emb_replace_a050,embedding_alpha_sweep_replace,replace,embeddings,0.5,0.9,1.0,1.0,all,20,0.9353625424223193,0.007124331112137534,0.920810618168461,0.9434438448816942,20,0.9354210525751114,0.0070694688314022185,0.9210526347160339,0.9434210658073425,20,0.22560387193921366,0.030911700396919276,0.1782569976856834,0.28301643534710536,20,0.9363505617297558,0.0063102589906054735,0.9254837876404887,0.9474192936526232,20,0.9364416599273682,0.006304359931720998,0.9254166483879089,0.9474999904632568,20,0.21915846928904453,0.027680054774325124,0.16721446438630422,0.2629067078828812,20,0.9319071197726725,0.005553851729885066,0.920810618168461,0.9402151896704325,20,0.9319671094417572,0.005487846735133611,0.9210526347160339,0.9401316046714783,20,0.932206972024554,0.004207387553986956,0.9236520343086497,0.9388018421302675,20,0.6131058675791689,0.07675628168966223,0.4984670757022833,0.6974186589536229,20,0.0004740740740740741,5.767872751316002e-05,0.0004148148148148148,0.0005925925925925926,20,0.0,0.0,0.0,0.0,20,5.25,1.1180339887498947,4.0,7.0,20,753.2068562936782,415.07275564728184,296.243737411499,1344.7138430595398,20,199.61966816625082,110.91009997648976,80.31874746498809,422.43265955623355,20,3766.0342814683913,2075.363778236409,1481.2186870574951,6723.569215297699
ag_news,emb_replace_a090,embedding_alpha_sweep_replace,replace,embeddings,0.9,0.9,1.0,1.0,all,20,0.9348122068992033,0.006681393746388368,0.9230464073397716,0.9431099227309179,20,0.9348289489746093,0.0066604505177149,0.9230263233184814,0.9430263042449951,20,0.22022534180079636,0.029087233039327098,0.18025310848888598,0.26596106077495374,20,0.9363700905425457,0.006299476535741188,0.9267250142205773,0.9462097215305558,20,0.936341667175293,0.006261005328840299,0.9269166588783264,0.9460833072662354,20,0.21810717970033489,0.03023442356588904,0.16338125944137574,0.2600688046614329,20,0.932643345509511,0.0061024732585205745,0.9213271146703658,0.9399813177266565,20,0.932717102766037,0.006075814919488135,0.9215789437294006,0.9399999976158142,20,0.9329005764675091,0.006186407805656725,0.923151030732284,0.9432404407334658,20,0.6138359168423174,0.0773165797948422,0.49029448296492656,0.7013699649073437,20,0.0005185185185185185,0.00014111983416628397,0.0003555555555555555,0.0009481481481481482,20,0.0,0.0,0.0,0.0,20,5.25,1.1180339887498947,4.0,7.0,20,767.3635007762908,529.0563947644622,230.9519380569458,1604.6572108268738,20,220.48070454554522,142.25399203357432,67.30538008562182,468.43299613239196,20,3836.8175038814543,2645.281973822311,1154.759690284729,8023.286054134369
ag_news,emb_replace_a060,embedding_alpha_sweep_replace,replace,embeddings,0.6,0.9,1.0,1.0,all,20,0.9348009435550333,0.00715084704657264,0.9208198515085843,0.9448568918486837,20,0.9348552614450455,0.007076211323955941,0.9210526347160339,0.9448684453964233,20,0.219774004066461,0.02538695986855252,0.17811882627637762,0.25727096156070106,20,0.9362953541690671,0.0072522967034721695,0.9232223903073248,0.9465065009641239,20,0.936383330821991,0.007223321074328906,0.9234166741371155,0.9468333125114441,20,0.21223706237375736,0.025423515727539977,0.17084111166000365,0.25793065015474953,20,0.9304637026888931,0.0057444992570716445,0.9216183303271569,0.9404746221528055,20,0.9305065840482711,0.005706923106554056,0.9217105507850647,0.9403947591781616,20,0.9314617871197308,0.006139377662903357,0.9216584497054305,0.9409284364550538,20,0.6136155972780764,0.07710409255420629,0.49257117342628903,0.7002994174465815,20,0.0004977777777777778,7.786034789117467e-05,0.0004148148148148148,0.0007111111111111111,20,0.0,0.0,0.0,0.0,20,5.25,1.1180339887498947,4.0,7.0,20,804.0244672393799,538.3836606526875,229.01911973953247,1603.970233821869,20,222.33003344110062,156.52058525968295,67.3339090756692,471.74617778683734,20,4020.1223361968996,2691.9183032634373,1145.0955986976624,8019.8511691093445
ag_news,emb_replace_a070,embedding_alpha_sweep_replace,replace,embeddings,0.7,0.9,1.0,1.0,all,20,0.9346545909309107,0.00730011183060592,0.9222713125637341,0.9438175481302062,20,0.9347039520740509,0.007229584742181778,0.9222368597984314,0.9436842203140259,20,0.223095208220576,0.03187401168488979,0.17756426535154643,0.28072989689676386,20,0.9360901992598911,0.006513546755300984,0.9245908273429048,0.9450722416101235,20,0.9361749947071075,0.006507579616311156,0.9244166612625122,0.9452499747276306,20,0.21782078412026168,0.03160112709516351,0.16830064868927003,0.2713574293454488,20,0.9314476513967633,0.006008322786668008,0.9215270981677782,0.941157771123912,20,0.9315394788980484,0.005991365589126529,0.9215789437294006,0.941315770149231,20,0.9322352367865836,0.004866299716097172,0.9235402634495482,0.9404447109026517,20,0.6149384057246094,0.07473851463781245,0.5014863728133143,0.6988482851698166,20,0.0005007407407407407,0.00010786418968480611,0.0004148148148148148,0.0007703703703703704,20,0.0,0.0,0.0,0.0,20,5.25,1.1180339887498947,4.0,7.0,20,775.7694435811043,510.8094582271589,283.0266721725464,1602.0008624076843,20,205.52243678323015,120.10846921106567,67.41588924474509,381.8996059627015,20,3878.8472179055216,2554.0472911357947,1415.133360862732,8010.004312038422
ag_news,emb_replace_a080,embedding_alpha_sweep_replace,replace,embeddings,0.8,0.9,1.0,1.0,all,20,0.9345762682327561,0.00667619335731842,0.9235142822642413,0.9434993458742296,20,0.934644740819931,0.00664839813928658,0.9236842393875122,0.9435526132583618,20,0.2265627924603851,0.031194377462799527,0.17467847082175705,0.2755350948321192,20,0.9348662497476402,0.007376852291373035,0.9228419538874806,0.9466030383629463,20,0.9349624991416932,0.007335204814836846,0.9226666688919067,0.9467499852180481,20,0.2250037054553628,0.031508007077379024,0.16749113233884175,0.269980660200119,20,0.8897622543561964,0.18597622551868054,0.09999999999991997,0.9388258737986456,20,0.8973289519548416,0.15246847052183313,0.25,0.9389473795890808,20,0.8898555778264245,0.18627161002624457,0.09893048128334307,0.941043644804304,20,0.6127732917392985,0.07980436859776674,0.4884324379696813,0.6963485789253567,20,0.0016854414997304133,0.00525150741993727,0.0003555555555555555,0.02399031147608975,20,79.45,355.31120162471655,0.0,1589.0,20,5.25,1.1180339887498947,4.0,7.0,20,758.8117676639556,519.1376572509712,229.51367530822753,1603.111803007126,20,227.49951641106864,155.6771254870603,66.85585552169275,470.7093565651345,20,3794.0588383197783,2595.6882862548555,1147.5683765411377,8015.559015035629
imdb,baseline_adamw,baseline,none,none,,,0.0,,all,20,0.8495346175305366,0.024851343843984408,0.8098829026281393,0.8760472494043685,20,0.84962799847126,0.02482435503956162,0.8101999759674072,0.8761600255966187,20,0.3882993893327713,0.06653177045914671,0.3103255847167969,0.5902428021812439,20,0.8557876619053373,0.024178155007647962,0.8131963834814837,0.8891672112272689,20,0.8559200018644333,0.024148174289512717,0.8131999969482422,0.88919997215271,20,0.3803218900489807,0.058441316959610044,0.2952281707763672,0.5351055158615112,20,0.8449107818442693,0.025195243346474362,0.8035523895422044,0.8721288812840493,20,0.8452199965715408,0.024926287998324026,0.806439995765686,0.872160017490387,20,0.8501064274782413,0.023497184006308448,0.8131963834814837,0.8863508308229469,20,0.9825175164435531,0.026432155851476666,0.9309306319945343,0.999715765027047,20,0.0006818181818181818,0.0003732651621203331,0.0002840909090909091,0.0017045454545454547,20,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,20,130.1913092947006,61.16686473991285,49.51822695732117,220.9607093334198,20,233.80094072670008,128.12495435537372,102.96929710513578,462.1279612027105,20,650.9565464735031,305.8343236995643,247.59113478660583,1104.803546667099
