scenario_name,mode,target,alpha,beta,mix_lambda,start_epoch,delta_best_val_macro_f1_vs_baseline_count,delta_best_val_macro_f1_vs_baseline_mean,delta_best_val_macro_f1_vs_baseline_std,delta_best_val_macro_f1_vs_baseline_min,delta_best_val_macro_f1_vs_baseline_max,delta_best_val_macro_f1_vs_baseline_sum,delta_best_val_accuracy_vs_baseline_count,delta_best_val_accuracy_vs_baseline_mean,delta_best_val_accuracy_vs_baseline_std,delta_best_val_accuracy_vs_baseline_min,delta_best_val_accuracy_vs_baseline_max,delta_best_val_accuracy_vs_baseline_sum,delta_final_val_macro_f1_vs_baseline_count,delta_final_val_macro_f1_vs_baseline_mean,delta_final_val_macro_f1_vs_baseline_std,delta_final_val_macro_f1_vs_baseline_min,delta_final_val_macro_f1_vs_baseline_max,delta_final_val_macro_f1_vs_baseline_sum,beats_baseline_best_macro_f1_count,beats_baseline_best_macro_f1_mean,beats_baseline_best_macro_f1_std,beats_baseline_best_macro_f1_min,beats_baseline_best_macro_f1_max,beats_baseline_best_macro_f1_sum
emb_mix_a08_lam015,mix,embeddings,0.8,0.9,0.015,1.0,75,0.002197180807411767,0.01416564568876277,-0.034586849068191705,0.04168699490158928,0.16478856055588254,75,-0.0009477794170379697,0.01535282371543452,-0.04374998807907099,0.036000013351440374,-0.07108345627784773,75,0.0027290109741572193,0.01883111955354188,-0.04695599452888101,0.051912507803508534,0.20467582306179144,75,0.52,0.5029641865709455,False,True,39
delayed_head_mix_a08_lam010_warm3,mix,head,0.8,0.9,0.1,4.0,45,0.0021331410548711452,0.010744986369148527,-0.02550077340952049,0.02437613189667942,0.09599134746920153,45,0.0020537032021416585,0.01596166357283696,-0.03300002217292791,0.041999995708465576,0.09241664409637462,45,0.002926865159651378,0.01657328667612153,-0.0391270950220477,0.04755855895350479,0.131708932184312,45,0.7555555555555555,0.4346134936801766,False,True,34
emb_mix_a08_lam005,mix,embeddings,0.8,0.9,0.05,1.0,45,0.002023870330884396,0.012739587660959801,-0.03219833986757997,0.03088097372155589,0.09107416488979782,45,-0.0009759240680270774,0.01496838736628066,-0.03749999403953552,0.03499999642372126,-0.043916583061218484,45,-0.0009213984598154844,0.01743349321580688,-0.037562795430512275,0.047358461745326486,-0.0414629306916968,45,0.5333333333333333,0.504524979109513,False,True,24
delayed_emb_mix_a08_lam025_warm3,mix,embeddings,0.8,0.9,0.25,4.0,45,0.001908118735024936,0.014027422215102435,-0.042582431525181985,0.033195268963197105,0.08586534307612212,45,-0.002481482426325475,0.015911459898924153,-0.030000001192092896,0.050000011920928955,-0.11166670918464638,45,-0.002189658354507069,0.018680202156386144,-0.055832194424644876,0.03311732411034031,-0.0985346259528181,45,0.5333333333333333,0.504524979109513,False,True,24
emb_mix_a08_lam010,mix,embeddings,0.8,0.9,0.1,1.0,45,0.0017015090340454127,0.014267195245417493,-0.050419236943446466,0.04795175682154057,0.07656790653204357,45,0.0005240731769137961,0.01748964547314795,-0.04099997878074646,0.05199998617172236,0.023583292961120828,45,0.003021111656122508,0.017903330682807174,-0.050419236943446466,0.03538734310713168,0.13595002452551286,45,0.5777777777777777,0.49949469416095843,False,True,26
all_mix_a08_lam025,mix,all,0.8,0.9,0.25,1.0,45,0.0016803628529349789,0.013811763090556156,-0.03380111383127099,0.03968516976688932,0.07561632838207405,45,-0.0015462941593593947,0.016473018160622972,-0.041999995708465576,0.06000000238418579,-0.06958323717117276,45,0.0010805717188823046,0.017851635102765728,-0.04208517372297649,0.041540988337851886,0.048625727349703704,45,0.5555555555555556,0.502518907629606,False,True,25
emb_replace_a09,replace,embeddings,0.9,0.9,1.0,1.0,45,0.001373958019856286,0.01186588933887644,-0.03750530890395448,0.033852065338437654,0.06182811089353288,45,0.0018518527348836324,0.01594658262302135,-0.027999997138977106,0.046000003814697266,0.08333337306976346,45,-0.000131357657901052,0.01849760277734412,-0.05331225651955798,0.044630292105193065,-0.00591109460554734,45,0.5555555555555556,0.502518907629606,False,True,25
delayed_emb_mix_a08_lam025_warm3,mix,embeddings,0.8,0.9,0.025,4.0,75,0.0013232954987249454,0.013416633134852156,-0.025020525385853504,0.04235047633472269,0.0992471624043709,75,-0.0007855554421742743,0.016352042899435183,-0.04500001668930048,0.041999995708465576,-0.05891665816307057,75,0.003048573798913695,0.017271257148254858,-0.038558183442614996,0.051639738233490384,0.2286430349185271,75,0.5333333333333333,0.5022472023339228,False,True,40
emb_replace_a07,replace,embeddings,0.7,0.9,1.0,1.0,45,0.0012627306321736586,0.014754509009016316,-0.0290572006644223,0.0258384494841693,0.05682287844781464,45,0.00019999808735317532,0.0189901472859475,-0.0520000159740448,0.046999990940093994,0.008999913930892889,45,0.002233453668123323,0.018528310693519946,-0.0344621650236272,0.03500860558398951,0.10050541506554952,45,0.5111111111111111,0.5055250296034367,False,True,23
delayed_head_mix_a08_lam010_warm3,mix,head,0.8,0.9,0.01,4.0,75,0.001139486882494882,0.016017444676453805,-0.04152699644928551,0.062751733389004,0.08546151618711614,75,-0.0022755551338195803,0.014950400673037757,-0.032000005245208796,0.04500001668930059,-0.1706666350364685,75,0.0016771023492940828,0.01923725861135926,-0.04567765349750111,0.05723861862734972,0.12578267619705621,75,0.5733333333333334,0.4979236165597369,False,True,43
