status,model_name,model_family,model_dir,scenario_id,scenario_name,method,trainable_scope,target,forget_weight,alpha,fractional_mode,mix_lambda,good_memory_weight,bad_memory_weight,seed,checkpoint_epoch,before_retain_em_acc,before_forget_em_acc,before_retain_answer_nll,before_forget_answer_nll,before_general_ppl,after_retain_em_acc,after_forget_em_acc,after_retain_answer_nll,after_forget_answer_nll,after_general_ppl,delta_retain_em_acc,delta_forget_em_acc,delta_retain_nll,delta_forget_nll,delta_general_ppl,forget_drop,retain_after,retain_preservation_ratio,unlearning_score_simple,tradeoff_score_ratio,out_dir
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,A2_fw075,gradient_ascent_fw0.75,gradient_ascent,lora_only,none,0.75,,none,0.0,0.0,0.0,42,0,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.5,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/A2_fw075_gradient_ascent_fw0p75
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,A2_fw075,gradient_ascent_fw0.75,gradient_ascent,lora_only,none,0.75,,none,0.0,0.0,0.0,42,1,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.43333333333333335,0.4666666666666667,0.15749788098037243,0.133916225284338,1.19240081487533,0.033333333333333326,-0.06666666666666665,-0.01011626236140728,0.007671510800719261,0.00023297551874512656,0.06666666666666665,0.43333333333333335,1.0833333333333333,0.2833310035781459,0.608321684557396,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/A2_fw075_gradient_ascent_fw0p75
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,A2_fw075,gradient_ascent_fw0.75,gradient_ascent,lora_only,none,0.75,,none,0.0,0.0,0.0,42,3,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.4,0.36666666666666664,0.14235112257301807,0.14851104095578194,1.1893503329537711,0.0,-0.16666666666666669,-0.025263020768761635,0.0222663264721632,-0.002817506402813752,0.16666666666666669,0.4,1.0,0.3666666666666667,0.6666666666666667,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/A2_fw075_gradient_ascent_fw0p75
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,A2_fw075,gradient_ascent_fw0.75,gradient_ascent,lora_only,none,0.75,,none,0.0,0.0,0.0,42,5,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.5666666666666667,0.3333333333333333,0.1301834899932146,0.16653316468000412,1.1851501672402118,0.16666666666666663,-0.2,-0.0374306533485651,0.040288450196385384,-0.007017672116373053,0.2,0.5666666666666667,1.4166666666666665,0.48333333333333334,0.9083333333333332,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/A2_fw075_gradient_ascent_fw0p75
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,A2_fw075,gradient_ascent_fw0.75,gradient_ascent,lora_only,none,0.75,,none,0.0,0.0,0.0,42,10,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.5666666666666667,0.2,0.11654717847704887,0.23610639199614525,1.182202212203593,0.16666666666666663,-0.3333333333333333,-0.051066964864730835,0.10986167751252651,-0.009965627152991985,0.3333333333333333,0.5666666666666667,1.4166666666666665,0.6166666666666667,1.0416666666666665,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/A2_fw075_gradient_ascent_fw0p75
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l001,valence_frac_lora_mix_a0.40_lam0.010,valence_fractional,lora_only,lora,0.5,0.4,mix,0.01,0.1,0.6,42,0,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.5,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l001_valence_frac_lora_mix_a0p40_lam0p010
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l001,valence_frac_lora_mix_a0.40_lam0.010,valence_fractional,lora_only,lora,0.5,0.4,mix,0.01,0.1,0.6,42,1,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.4666666666666667,0.5333333333333333,0.15674487687647343,0.13089969381690025,1.1922119410031577,0.06666666666666665,0.0,-0.010869266465306282,0.004654979333281517,4.410164657286941e-05,0.0,0.4666666666666667,1.1666666666666665,0.2333328923168676,0.5833311282510046,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l001_valence_frac_lora_mix_a0p40_lam0p010
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l001,valence_frac_lora_mix_a0.40_lam0.010,valence_fractional,lora_only,lora,0.5,0.4,mix,0.01,0.1,0.6,42,3,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.43333333333333335,0.43333333333333335,0.1415199190378189,0.14401830546557903,1.187646798652832,0.033333333333333326,-0.09999999999999998,-0.0260942243039608,0.017773590981960297,-0.00452104070375281,0.09999999999999998,0.43333333333333335,1.0833333333333333,0.31666666666666665,0.6416666666666666,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l001_valence_frac_lora_mix_a0p40_lam0p010
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l001,valence_frac_lora_mix_a0.40_lam0.010,valence_fractional,lora_only,lora,0.5,0.4,mix,0.01,0.1,0.6,42,5,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.6,0.3333333333333333,0.12873695604503155,0.15801382809877396,1.1822147505902751,0.19999999999999996,-0.2,-0.03887718729674816,0.03176911361515522,-0.009953088766309737,0.2,0.6,1.4999999999999998,0.5,0.95,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l001_valence_frac_lora_mix_a0p40_lam0p010
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l001,valence_frac_lora_mix_a0.40_lam0.010,valence_fractional,lora_only,lora,0.5,0.4,mix,0.01,0.1,0.6,42,10,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.6333333333333333,0.13333333333333333,0.10759884025901556,0.21410318836569786,1.177979122806909,0.23333333333333328,-0.4,-0.06001530308276415,0.08785847388207912,-0.014188716549675906,0.4,0.6333333333333333,1.5833333333333333,0.7166666666666667,1.1916666666666667,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l001_valence_frac_lora_mix_a0p40_lam0p010
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l002,valence_frac_lora_mix_a0.40_lam0.020,valence_fractional,lora_only,lora,0.5,0.4,mix,0.02,0.1,0.6,42,0,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.5,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l002_valence_frac_lora_mix_a0p40_lam0p020
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l002,valence_frac_lora_mix_a0.40_lam0.020,valence_fractional,lora_only,lora,0.5,0.4,mix,0.02,0.1,0.6,42,1,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.4666666666666667,0.5333333333333333,0.156618382781744,0.13080603070557117,1.192189987683524,0.06666666666666665,0.0,-0.010995760560035706,0.004561316221952438,2.2148326939142038e-05,0.0,0.4666666666666667,1.1666666666666665,0.23333311185006395,0.5833322259169863,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l002_valence_frac_lora_mix_a0p40_lam0p020
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l002,valence_frac_lora_mix_a0.40_lam0.020,valence_fractional,lora_only,lora,0.5,0.4,mix,0.02,0.1,0.6,42,3,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.43333333333333335,0.43333333333333335,0.14130865968763828,0.14412418007850647,1.187640688670066,0.033333333333333326,-0.09999999999999998,-0.026305483654141426,0.017879465594887733,-0.004527150686518988,0.09999999999999998,0.43333333333333335,1.0833333333333333,0.31666666666666665,0.6416666666666666,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l002_valence_frac_lora_mix_a0p40_lam0p020
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l002,valence_frac_lora_mix_a0.40_lam0.020,valence_fractional,lora_only,lora,0.5,0.4,mix,0.02,0.1,0.6,42,5,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.6,0.3333333333333333,0.12874996475875378,0.15805117413401604,1.1822004902226921,0.19999999999999996,-0.2,-0.03886417858302593,0.0318064596503973,-0.009967349133892744,0.2,0.6,1.4999999999999998,0.5,0.95,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l002_valence_frac_lora_mix_a0p40_lam0p020
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a04_l002,valence_frac_lora_mix_a0.40_lam0.020,valence_fractional,lora_only,lora,0.5,0.4,mix,0.02,0.1,0.6,42,10,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.6333333333333333,0.13333333333333333,0.1074058124795556,0.21493921801447868,1.1779967815155983,0.23333333333333328,-0.4,-0.0602083308622241,0.08869450353085995,-0.0141710578409866,0.4,0.6333333333333333,1.5833333333333333,0.7166666666666667,1.1916666666666667,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a04_l002_valence_frac_lora_mix_a0p40_lam0p020
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a05_l001,valence_frac_lora_mix_a0.50_lam0.010,valence_fractional,lora_only,lora,0.5,0.5,mix,0.01,0.1,0.6,42,0,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.2,0.5,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a05_l001_valence_frac_lora_mix_a0p50_lam0p010
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a05_l001,valence_frac_lora_mix_a0.50_lam0.010,valence_fractional,lora_only,lora,0.5,0.5,mix,0.01,0.1,0.6,42,1,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.4666666666666667,0.5333333333333333,0.15674731135368347,0.13085878267884254,1.1921767528206775,0.06666666666666665,0.0,-0.010866831988096237,0.004614068195223808,8.913464092596968e-06,0.0,0.4666666666666667,1.1666666666666665,0.23333324419869242,0.5833328876601286,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a05_l001_valence_frac_lora_mix_a0p50_lam0p010
done,distilgpt2,gpt2,/home/user/fractional_unlearning/hf_llm_models/distilgpt2,B4_a05_l001,valence_frac_lora_mix_a0.50_lam0.010,valence_fractional,lora_only,lora,0.5,0.5,mix,0.01,0.1,0.6,42,3,0.4,0.5333333333333333,0.1676141433417797,0.12624471448361874,1.1921678393565849,0.43333333333333335,0.43333333333333335,0.14153578504920006,0.14409264549613,1.1877054844038606,0.033333333333333326,-0.09999999999999998,-0.02607835829257965,0.017847931012511253,-0.00446235495272429,0.09999999999999998,0.43333333333333335,1.0833333333333333,0.31666666666666665,0.6416666666666666,/home/user/fractional_unlearning/llm_valence_fractional_poc_v5_qwen_curves/runs/distilgpt2/seed_42/B4_a05_l001_valence_frac_lora_mix_a0p50_lam0p010
