repo_name,path,is_git_repo,size_mb,top_level_files,readme_preview
muse_bench,/home/tahiti/Malashin_Projects/unlearning_benchmarks/repos/muse_bench,True,1.4225578308105469,.gitignore;README.md;baselines;constants.py;environment.yml;eval.py;figures;load_data.py;metrics;utils.py,"# <img alt=""icon"" src=""figures/icon.png"" height=30> MUSE: Machine Unlearning Six-Way Evaluation for Language Models\n\nThis repository provides the original implementation of *Machine Unlearning Six-Way Evaluation for Language Models* by Weijia Shi*, Jaechan Lee*, Yangsibo Huang*, Sadhika Malladi, Jieyu Zhao, Ari Holtzman, Daogao Liu, Luke Zettlemoyer, Noah A. Smith, and Chiyuan Zhang. (*Equal contribution)\n\n\n[Website](https://muse-bench.github.io/) |  [Leaderboard](https://huggingface.co/spaces/muse-bench/MUSE-Leaderboard) | [MUSE-News Benchmark](https://huggingface.co/datasets/muse-bench/MUSE-News) | [MUSE-News Benchmark](https://huggingface.co/datasets/muse-bench/MUSE-News) |  [MUSE-Books Benchmark](https://huggingface.co/datasets/muse-bench/MUSE-Books) \n\n\n## Overview\n**MUSE** is a comprehensive machine unlearning evaluation benchmark that assesses six desirable properties for unlearned models: (1) no verbatim memorization, (2) no knowledge memorization, (3) no privacy leakage, (4) utility preservation for non-removed data, (5) scalability with respect to removal requests, and (6) sustainability over sequential unlearning requests.\n\n<p align=""center"">\n  <img src=""figures/main.png"" width=""80%"" height=""80%"">\n</p>\n\n:star: If you find our implementation and paper helpful, please consider citing our work :star: :\n\n```bibtex\n@misc{shi2023detecting,\n    title={Detecting Pretraining Data from Large Language Models},\n    author={Weijia Shi and Anirudh Ajith and Mengzhou Xia and Yangsibo Huang and Daogao Liu and Terra Blevins and Danqi Chen and Luke Zettlemoyer},\n    year={2023},\n    eprint={2310.16789},\n    archivePrefix={arXiv},\n    primaryClass={cs.CL}\n}\n```\n\n## Content\n- [ MUSE: Machine Unlearning Six-Way Evaluation for Language Models](#-muse-machine-unlearning-six-way-evaluation-for-language-models)\n  - [Overview](#overview)\n  - [Content](#content)\n  - [🛠️ Installation](#️-installation)\n    - [Conda Environment](#conda-environment)\n  -..."
open_unlearning,/home/tahiti/Malashin_Projects/unlearning_benchmarks/repos/open_unlearning,True,0.7582073211669922,.github;.gitignore;.pre-commit-config.yaml;LICENSE;Makefile;README.md;assets;community;configs;docs;requirements.txt;scripts;setup.py;setup_data.py;src,"<div align=""center"">\n\n![*Open*Unlearning](assets/banner.png)\n\n<h3><strong>An easily extensible framework unifying LLM unlearning evaluation benchmarks.</strong></h3>\n\n  <div style=""display: flex; gap: 10px; justify-content: center; align-items: center;"">\n    <a href=""https://arxiv.org/abs/2506.12618""><img src=""https://img.shields.io/badge/arXiv-Report-b31b1b?logo=arxiv&logoColor=white"" alt=""arXiv Paper""/></a>\n    <a href=""https://github.com/locuslab/open-unlearning""><img src=""https://img.shields.io/github/stars/locuslab/open-unlearning?style=social"" alt=""GitHub Repo stars""/></a>\n    <a href=""https://github.com/locuslab/open-unlearning/actions""><img src=""https://github.com/locuslab/open-unlearning/actions/workflows/tests.yml/badge.svg"" alt=""Build Status""/></a>\n    <a href=""https://huggingface.co/open-unlearning""><img src=""https://img.shields.io/badge/%F0%9F%A4%97%20Hugging%20Face-Model-blue"" alt=""HuggingFace 🤗""/></a>\n    <a href=""https://github.com/locuslab/open-unlearning""><img src=""https://img.shields.io/github/repo-size/locuslab/open-unlearning"" alt=""GitHub repo size""/></a>\n    <a href=""https://github.com/locuslab/open-unlearning""><img src=""https://img.shields.io/github/languages/top/locuslab/open-unlearning"" alt=""GitHub top language""/></a>\n    <a href=""https://github.com/locuslab/open-unlearning/blob/main/LICENSE""><img src=""https://img.shields.io/badge/License-MIT-blue"" alt=""License: MIT""/></a>\n  </div>\n</div>\n\n---\n\n## 📖 Overview\n\nWe provide efficient and streamlined implementations of the TOFU, MUSE and WMDP unlearning benchmarks while supporting 12+ unlearning methods, 5+ datasets, 10+ evaluation metrics, and 7+ LLM architectures. Each of these can be easily extended to incorporate more variants.\n\n\nWe invite the LLM unlearning community to collaborate by adding new benchmarks, unlearning methods, datasets and evaluation metrics here to expand OpenUnlearning's features, gain feedback from wider usage and drive progress in the field.\n\n--..."
tofu_repo,/home/tahiti/Malashin_Projects/unlearning_benchmarks/repos/tofu_repo,True,38.50547218322754,.DS_Store;.gitignore;LICENSE;README.md;__init__.py;aggregate_eval_stat.py;config;data;data_module.py;dataloader.py;environment.yml;evals;evaluate_util.py;finetune.py;forget.py;requirements.txt;utils.py,"# TOFU: Task of Fictitious Unlearning 🍢\n\n## ⚠️ **WARNING: THIS IS A DEPRECATED BRANCH** ⚠️\n**The original repository has now moved to [https://github.com/locuslab/open-unlearning](https://github.com/locuslab/open-unlearning)**   \n**This is just for legacy maintenance.**\n\nThe TOFU dataset serves as a benchmark for evaluating unlearning performance of large language models on realistic tasks. The dataset comprises question-answer pairs based on autobiographies of 200 different authors that do not exist and are completely fictitiously generated by the GPT-4 model. The goal of the task is to unlearn a fine-tuned model on various fractions of the forget set.\n\n## Quick Links\n\n- [**Website**](https://locuslab.github.io/tofu): The landing page for TOFU\n- [**arXiv Paper**](http://arxiv.org/abs/2401.06121): Detailed information about the TOFU dataset and its significance in unlearning tasks.\n- [**GitHub Repository**](https://github.com/locuslab/open-unlearning): Access the source code, fine-tuning scripts, and additional resources for the TOFU dataset.\n- [**Dataset on Hugging Face**](https://huggingface.co/datasets/locuslab/TOFU): Direct link to download the TOFU dataset.\n- [**Leaderboard on Hugging Face Spaces**](https://huggingface.co/spaces/locuslab/tofu_leaderboard): Current rankings and submissions for the TOFU dataset challenges.\n- [**Summary on Twitter**](https://x.com/_akhaliq/status/1745643293839327268): A concise summary and key takeaways from the project.\n\n## Updates 03/18\nWe have updated a new evaluation pipeline, see the following section on model evaluation. We notice that Llama2 model has reproducibility issue due to the internal randomness of flash attention. You are encouraged to collect your own retain results. Our huggingface leaderboard results and the numbers/figures in the paper are also subject to update. Feel free to contact us if you run into any issue! \n\n## Applicability 🚀\n\nThe dataset is in QA format, making it ideal for use wi..."
wmdp_repo,/home/tahiti/Malashin_Projects/unlearning_benchmarks/repos/wmdp_repo,True,1.2179508209228516,LICENSE;README.md;data;images;requirements.txt;rmu;run_rmu_mixtral.ipynb;run_rmu_yi.ipynb;run_rmu_zephyr.ipynb,"# <img src=""./images/wmdp_logo.png"" width=""27"" /> The WMDP Benchmark: Measuring and Reducing Malicious Use With Unlearning\n\nThe Weapons of Mass Destruction Proxy (WMDP) benchmark is a dataset of 3,668 multiple-choice questions surrounding hazardous knowledge in biosecurity, cybersecurity, and chemical security. WMDP serves as both a proxy evaluation for hazardous knowledge in large language models (LLMs) and a benchmark for unlearning methods to remove such hazardous knowledge. To guide progress on mitigating risk from LLMs, we develop RMU, a state-of-the-art unlearning method which reduces model performance on WMDP while maintaining general language model capabilities.\n\nSee our [paper](https://arxiv.org/abs/2403.03218), [website](https://www.wmdp.ai/), and [HuggingFace collection](https://huggingface.co/collections/cais/wmdp-benchmark-661ed0abb589122164900e0e) for more details!\n\n <img src=""./images/dataset.png""/>\n\n## Datasets\n\nThe WMDP datasets are available for download from multiple sources.\n\n<img src=""./images/wmdp_logo.png"" width=""10"" /> ***Update 2024-04-23**: the WMDP multiple choice questions were modified due to issues with data formatting and unicode encoding. Some questions in WMDP-Cyber were also removed for being excessively long, which makes evaluation with a fixed batch size challenging. Some questions in WMDP-Bio were also removed for insufficient dual-use potential (h/t folks from Google DeepMind and OpenAI). The modified version is now uploaded on all mirrors; please re-download the dataset. Thanks!*\n\n<img src=""./images/wmdp_logo.png"" width=""10"" /> ***Update 2024-03-08**: the WMDP-Cyber dataset was slightly modified due to issues with choice randomization (h/t Timothée Chauvin). The modified version is now uploaded on all mirrors; please re-download the dataset. Thanks!*\n\n**WMDP Multiple-Choice Questions**\n- Hugging Face: [🤗 cais/wmdp](https://huggingface.co/datasets/cais/wmdp)\n- Amazon S3: [Download](https://cais-wmdp.s3.us-west-..."
